Provinsi, Zina, Mabuk, Madat, Judi, Meninggalkan Salah satu Pihak, Dihukum Penjara, Poligami, Kekerasan Dalam Rumah Tangga, Cacat Badan, Perselisihan dan Pertengkaran Terus Menerus, Kawin Paksa, Murtad, Ekonomi, Lain-lain, Jumlah
Aceh,2,3,5,2,580,52,11,58,8,3370,,3,77,,4171
Sumatera Utara,4,11,26,3,1394,58,16,33,6,11026,1,61,170,,12809
Sumatera Barat,1,5,2,16,570,16,10,33,5,4394,1,6,232,,5291
Riau,4,8,8,10,708,38,13,42,6,5176,4,18,217,,6252
Jambi,4,11,4,12,387,28,8,37,2,3164,3,7,216,,3883
Sumatera Selatan,4,43,49,33,523,37,51,137,7,4883,6,21,608,,6402
Bengkulu,1,6,,11,331,19,2,23,1,2509,4,8,189,,3104
Lampung,11,53,5,61,769,23,17,245,14,7556,1,53,2419,,11227
Kepulauan Bangka Belitung,8,12,1,4,103,16,11,30,1,1633,1,14,167,,2001
Kepulauan Riau,...,...,...,...,...,...,...,...,...,...,...,...,...,...,
DKI Jakarta,5,25,15,16,1729,31,18,167,5,8265,3,61,1758,,12098
Jawa Barat,16,52,11,45,1563,53,103,125,21,17336,11,113,18054,,37503
Jawa Tengah,125,169,27,95,12679,64,57,294,59,32201,83,199,19703,,65755
DI Yogyakarta,11,19,,10,735,9,5,50,8,3343,6,24,1068,,5288
Jawa Timur,205,144,9,116,4416,116,92,619,39,34822,101,239,20952,,61870
Banten,22,57,10,40,905,14,108,250,3,6533,7,42,2410,,10401
Bali,...,...,...,...,...,...,...,...,...,...,...,...,...,...,
Nusa Tenggara Barat,3,41,5,22,726,11,29,177,1,3425,1,16,398,,4855
Nusa Tenggara Timur,2,6,,3,101,2,2,13,1,300,2,6,13,,451
Kalimantan Barat,10,20,6,22,527,14,12,41,2,3119,2,14,460,,4249
Kalimantan Tengah,2,20,7,2,296,10,8,32,3,1094,4,12,105,,1595
Kalimantan Selatan,4,43,8,16,274,25,36,47,4,2641,15,8,289,,3410
Kalimantan Timur,15,31,53,37,1095,123,73,180,12,4482,12,49,850,,7012
Kalimantan Utara,...,...,...,...,...,...,...,...,...,...,...,...,...,...,
Sulawesi Utara,9,49,,4,196,3,1,32,1,912,,51,40,,1298
Sulawesi Tengah,,35,1,5,143,3,3,36,4,1342,,2,36,,1610
Sulawesi Selatan,15,148,16,45,2566,30,42,350,18,8863,38,51,515,,12697
Sulawesi Tenggara,3,77,,8,516,3,19,129,10,1903,1,6,93,,2768
Gorontalo,1,95,2,2,325,1,9,24,,958,2,5,28,,1452
Sulawesi Barat,...,...,...,...,...,...,...,...,...,...,...,...,...,...,
Maluku,,,,1,41,,,9,,169,,2,3,,225
Maluku Utara,1,14,1,1,170,,2,21,1,258,1,1,5,,476
Papua Barat,...,...,...,...,...,...,...,...,...,...,...,...,...,...,
Papua,10,21,,6,303,4,1,37,1,1006,,16,119,,1524
Indonesia,498,1218,271,648,34671,803,759,3271,243,176683,310,1108,71194,,291677
