Provinsi, Zina, Mabuk, Madat, Judi, Meninggalkan Salah satu Pihak, Dihukum Penjara, Poligami, Kekerasan Dalam Rumah Tangga, Cacat Badan, Perselisihan dan Pertengkaran Terus Menerus, Kawin Paksa, Murtad, Ekonomi, Lain-lain, Jumlah
Aceh,1,4,18,11,699,90,19,88,27,5238,3,9,235,,6442
Sumatera Utara,1,6,24,12,1587,67,14,37,3,15244,1,73,201,,17270
Sumatera Barat,3,4,2,15,883,39,10,29,6,8172,3,14,191,,9371
Riau,39,35,24,33,1303,106,33,131,10,10285,10,37,676,,12722
Jambi,3,14,4,14,448,29,13,36,2,4140,,11,286,,5000
Sumatera Selatan,27,57,20,59,998,91,39,240,7,8630,7,49,968,,11192
Bengkulu,2,11,3,15,364,14,5,37,3,3149,1,4,237,,3845
Lampung,2,53,7,51,624,30,19,167,5,11231,2,72,2770,,15033
Kepulauan Bangka Belitung,5,45,3,12,142,27,5,80,1,1882,1,2,272,,2477
Kepulauan Riau,,,,,,,,,,,,,,,
DKI Jakarta,18,55,17,25,1827,56,22,234,7,11029,3,60,2664,,16017
Jawa Barat,16,102,24,86,4066,141,151,323,41,52213,16,306,40603,,98088
Jawa Tengah,29,180,11,131,11184,102,73,259,78,40418,72,188,22784,,75509
DI Yogyakarta,4,26,1,9,762,10,8,65,7,3835,8,26,872,,5633
Jawa Timur,235,315,31,230,6204,180,117,1354,80,45712,159,206,33412,,88235
Banten,7,123,23,77,1067,36,93,361,18,10058,5,79,3721,,15668
Bali,,,,,,,,,,,,,,,
Nusa Tenggara Barat,5,65,12,29,1566,19,32,280,1,6305,4,48,619,,8985
Nusa Tenggara Timur,,9,,,91,2,,10,,313,,6,5,,436
Kalimantan Barat,13,19,8,21,605,44,12,48,2,4069,3,24,356,1,5225
Kalimantan Tengah,3,29,,7,533,38,11,35,7,2620,3,19,178,1,3484
Kalimantan Selatan,1,84,24,18,608,75,72,74,14,6071,11,22,508,,7582
Kalimantan Timur,8,43,65,42,1229,131,64,175,5,5287,14,31,907,,8001
Kalimantan Utara,,,,,,,,,,,,,,,
Sulawesi Utara,13,73,,2,267,5,5,34,1,1367,2,51,64,,1884
Sulawesi Tengah,,21,3,8,398,11,8,54,1,3358,5,27,65,,3959
Sulawesi Selatan,7,216,18,65,3091,28,48,325,24,11236,23,39,455,,15575
Sulawesi Tenggara,2,69,1,8,589,11,7,158,6,2885,2,14,70,,3822
Gorontalo,,79,2,1,447,1,7,36,,1797,2,12,34,,2418
Sulawesi Barat,,,,,,,,,,,,,,,
Maluku,,,,2,164,1,2,40,,542,,,8,,759
Maluku Utara,2,21,2,1,328,3,,42,,834,2,3,35,,1273
Papua Barat,,,,,,,,,,,,,,,
Papua,3,21,2,9,313,5,4,27,4,1285,3,15,147,,1838
Indonesia,449,1779,349,993,42387,1392,893,4779,360,279205,365,1447,113343,2,447743
