Provinsi, Zina, Mabuk, Madat, Judi, Meninggalkan Salah satu Pihak, Dihukum Penjara, Poligami, Kekerasan Dalam Rumah Tangga, Cacat Badan, Perselisihan dan Pertengkaran Terus Menerus, Kawin Paksa, Murtad, Ekonomi, Lain-lain, Jumlah
Aceh,5,15,20,27,747,101,57,173,25,5412,2,12,308,,6904
Sumatera Utara,11,7,82,44,1600,70,14,73,2,14980,2,91,357,,17333
Sumatera Barat,2,9,7,19,754,31,10,33,4,7863,,11,224,,8967
Riau,24,28,34,33,962,118,28,134,4,9789,7,32,574,,11767
Jambi,4,14,6,15,656,32,7,42,5,4917,1,24,481,,6204
Sumatera Selatan,6,22,17,34,841,59,20,194,7,9311,3,73,532,,11119
Bengkulu,4,11,3,11,308,20,4,29,5,3135,9,5,266,,3810
Lampung,5,42,5,38,645,36,17,146,9,11925,2,53,2438,,15361
Kepulauan Bangka Belitung,3,39,,20,126,23,7,53,,1977,1,9,442,,2700
Kepulauan Riau,,,,,,,,,,,,,,,
DKI Jakarta,8,32,10,29,1716,36,35,159,5,11163,1,58,2695,,15947
Jawa Barat,48,124,17,157,4613,155,166,397,25,55532,26,335,37295,,98890
Jawa Tengah,31,199,16,131,9337,102,69,245,53,40283,70,160,23334,,74030
DI Yogyakarta,2,17,1,6,619,11,3,46,4,3828,3,20,787,,5347
Jawa Timur,461,388,27,307,6498,205,141,1577,96,44464,178,252,34499,,89093
Banten,6,84,13,87,769,37,35,264,7,10708,,86,3226,,15322
Bali,,,,,,,,,,,,,,,
Nusa Tenggara Barat,2,71,9,30,1175,16,37,307,4,6482,8,45,573,,8759
Nusa Tenggara Timur,,8,1,2,116,2,1,26,1,334,,3,3,,497
Kalimantan Barat,13,35,13,38,739,37,25,52,4,4221,4,26,454,,5661
Kalimantan Tengah,2,24,3,18,452,44,8,31,9,2799,,14,153,,3557
Kalimantan Selatan,3,85,20,10,494,116,47,61,2,6444,5,65,354,,7706
Kalimantan Timur,16,35,48,43,1168,142,40,154,10,5542,7,43,1101,,8349
Kalimantan Utara,,,,,,,,,,,,,,,
Sulawesi Utara,,46,,7,256,,3,37,,1453,3,59,52,,1916
Sulawesi Tengah,,60,4,10,471,9,13,65,3,3189,2,33,67,,3926
Sulawesi Selatan,23,139,21,56,2632,22,68,347,21,11148,36,51,446,,15010
Sulawesi Tenggara,1,62,1,5,539,11,4,146,3,2858,,29,65,,3724
Gorontalo,,134,2,2,454,2,8,47,,1659,1,15,37,,2361
Sulawesi Barat,,,,,,,,,,,,,,,
Maluku,,4,,1,143,2,1,25,,603,1,7,7,,794
Maluku Utara,2,18,3,1,286,2,3,63,,873,2,3,18,,1274
Papua Barat,,,,,,,,,,,,,,,
Papua,8,29,,10,243,6,3,46,1,1277,3,21,151,,1798
Indonesia,690,1781,383,1191,39359,1447,874,4972,309,284169,377,1635,110939,,448126
