Provinsi, Zina, Mabuk, Madat, Judi, Meninggalkan Salah satu Pihak, Dihukum Penjara, Poligami, Kekerasan Dalam Rumah Tangga, Cacat Badan, Perselisihan dan Pertengkaran Terus Menerus, Kawin Paksa, Murtad, Ekonomi, Lain-lain, Jumlah
Aceh,2,9,5,4,1123,58,27,107,15,4221,2,5,416,69,6063
Sumatera Utara,106,82,218,110,2177,96,6,110,8,11670,,42,701,179,15505
Sumatera Barat,4,12,13,33,1518,42,24,133,5,6396,9,6,459,,8654
Riau,1,17,11,33,1238,64,6,115,4,7608,6,10,635,,9748
Jambi,3,12,13,17,743,26,11,69,2,3254,3,6,489,,4648
Sumatera Selatan,7,122,79,224,864,72,43,345,4,6729,3,16,1121,15,9644
Bengkulu,5,6,2,5,432,11,7,23,1,2664,2,4,160,,3322
Lampung,106,151,53,220,1515,22,24,467,21,6055,10,28,3856,,12528
Kepulauan Bangka Belitung,6,22,2,8,242,28,13,27,1,1961,,9,154,,2473
Kepulauan Riau,22,34,5,34,522,40,6,39,1,2574,1,11,208,,3497
DKI Jakarta,12,42,19,24,2116,46,36,328,4,9422,3,59,3214,,15325
Jawa Barat,30,226,19,239,5084,178,221,748,36,34430,43,173,39988,1233,82648
Jawa Tengah,109,95,131,115,16743,2334,55,486,104,37146,275,170,24057,1,81821
DI Yogyakarta,12,10,13,7,1266,8,6,54,,4221,2,13,627,,6239
Jawa Timur,417,329,78,241,11093,201,106,1593,96,43669,359,238,35835,1297,95552
Banten,5,135,28,79,1968,63,278,611,8,9603,8,52,2649,,15487
Bali,2,6,,,232,2,1,14,1,869,1,9,74,,1211
Nusa Tenggara Barat,5,131,28,52,1387,76,83,305,6,4013,10,19,571,,6686
Nusa Tenggara Timur,,6,,,169,15,1,7,,259,,6,7,,470
Kalimantan Barat,7,41,2,30,561,38,10,57,3,3394,5,18,841,,5007
Kalimantan Tengah,3,74,5,15,633,29,27,60,2,2365,5,43,239,1,3501
Kalimantan Selatan,1,151,123,26,924,99,74,102,18,5275,33,19,976,,7821
Kalimantan Timur,22,30,68,38,1399,103,86,233,7,4296,10,40,1345,,7677
Kalimantan Utara,,5,7,,239,21,5,7,,1036,1,10,29,4,1364
Sulawesi Utara,4,95,1,7,257,11,2,46,1,1255,12,65,33,,1789
Sulawesi Tengah,2,68,28,25,616,11,22,236,,2432,3,30,115,59,3647
Sulawesi Selatan,14,485,14,305,2962,41,92,919,26,8744,47,30,1318,7,15004
Sulawesi Tenggara,1,118,31,21,711,14,27,286,2,2104,4,9,307,,3635
Gorontalo,4,169,20,12,489,2,9,79,,1379,4,11,94,,2272
Sulawesi Barat,2,9,3,2,370,5,7,49,1,786,1,7,34,,1276
Maluku,4,14,1,8,110,1,6,42,,441,1,4,9,1,642
Maluku Utara,1,39,2,,408,6,7,73,1,594,3,1,31,,1166
Papua Barat,,19,4,3,81,,,16,,317,2,2,84,,528
Papua,23,9,3,10,313,5,2,28,2,690,2,20,56,,1163
Indonesia,942,2773,1029,1947,60505,3768,1330,7814,380,231872,870,1185,120732,2866,438013
